layer,r_squared,mse,outside_simplex_fraction,max_sum_error,initialization_outside_simplex_fraction,ntp_null_r_squared,initialization_r_squared,initialization_ntp_null_r_squared,delta_r2_vs_ntp,delta_r2_vs_log_ntp
layer_1,0.8708097004593958,0.012344453295460316,0.0008,3.885780586188048e-14,0.0238,0.6074213488326264,0.6525708014864959,0.4869520290809054,0.08113516874948165,-0.025667226778053203
layer_2,0.9571271686067641,0.004096605292037475,0.1123,2.7533531010703882e-14,0.16155,0.846113214631097,0.8449432330794819,0.7212864659991155,0.16745263689685,0.06065024136931513
layer_3,0.9576273199777563,0.0040488145890061385,0.133,5.950795411990839e-14,0.1949,0.8569898378629427,0.869470755339246,0.7403281701713575,0.1679527882678422,0.06115039274030738
