arm,run_id,variant,speed,phase,agent_steps,training_iteration,checkpoint_label,source,target,control,availability,r_squared,mse,target_variance,global_mse_ratio,branch_baseline_mse,fine_evaluation_mse,fine_mse_ratio,fine_mse_improvement,n_evaluated,mse_ci95_low,mse_ci95_high,n_fit,n_test,bootstrap_clusters,bootstrap_resamples,bootstrap_unit
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,combined_marginals,saved,-0.00038227662120182693,0.20962961560028925,0.20954950972173833,1.0003822766212018,0.20527045112450196,0.20962961560028925,1.0212362005924727,-0.004359164475787297,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,fine_belief,next_reward,saved,0.42506176119496164,0.060457021789092326,0.10515394125592907,0.5749382388050384,0.07787630169164463,0.060457021789092326,0.7763211718563001,0.0174192799025523,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,coarse_belief,next_reward,saved,0.7085808610680323,0.0349382692666813,0.1198900984840179,0.2914191389319677,0.06807518779579168,0.0349382692666813,0.5132305969024612,0.033136918529110375,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,m1_minus_m2,next_reward,saved,0.060978211162115215,0.2740265587126507,0.29182129953744806,0.9390217888378848,0.282286178641823,0.2740265587126507,0.9707402609333826,0.00825961992917229,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,next_reward,saved,-0.0003822766202403738,0.2096296156000878,0.20954950972173833,1.0003822766202404,0.20527045112450196,0.2096296156000878,1.0212362005914914,-0.004359164475585847,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,fine_belief,next_token,saved,0.4250617612123997,0.06045702178725865,0.10515394125592907,0.5749382387876003,0.07787630169164463,0.06045702178725865,0.7763211718327541,0.01741927990438598,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,coarse_belief,next_token,saved,0.7085808610677631,0.03493826926671358,0.1198900984840179,0.291419138932237,0.06807518779579168,0.03493826926671358,0.5132305969029354,0.033136918529078095,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,m1_minus_m2,next_token,saved,0.06097821121304747,0.2740265586977875,0.29182129953744806,0.9390217887869524,0.282286178641823,0.2740265586977875,0.9707402608807297,0.008259619944035457,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,next_token,saved,-0.0003822766211649675,0.2096296156002815,0.20954950972173833,1.000382276621165,0.20527045112450196,0.2096296156002815,1.021236200592435,-0.004359164475779553,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,fine_belief,previous_action_latest_token,saved,0.24788220496174052,0.07908815043699204,0.10515394125592907,0.7521177950382595,0.07787630169164463,0.07908815043699204,1.0155612005067445,-0.0012118487453474103,10000,,,10000,10000,,,
