delay,random,memoryless,memoryless_map,filter_ceiling,filter_ceiling_se
0,0.333333,0.850000,"(0, 1, 2)",0.850026,0.000106
1,0.333333,0.659250,"(0, 1, 0)",0.669121,0.000061
