run,phase,layer,factor,mse,target_variance,global_r2,null_mse,null_global_r2,probe_type
explore_cycle_3_factor_1,final,layer_3,factor_1,0.1835691322653201,0.1821644965425569,-0.007710809457511569,0.2799818688148178,-0.006224058427045209,shuffled_training_labels
explore_cycle_3_factor_1,final,layer_3,factor_2,0.1653159924448351,0.16478958793694207,-0.0031944039334237395,0.21871367416112125,-0.004311348524326686,shuffled_training_labels
explore_cycle_3_factor_1,final,control,factor_1,0.13210324843950766,0.1821644965425569,0.274813418932893,0.1658669363218497,0.40389246442590043,current_token_preceding_action
explore_cycle_3_factor_1,final,control,factor_2,0.1141535935162253,0.16478958793694207,0.3072766614362371,0.2190551787370715,-0.005879503430576971,current_token_preceding_action
explore_cycle_3_factor_1,final,control,factor_1,0.07562736875876284,0.1821644965425569,0.5848402394859915,0.221565617213717,0.20371752819416733,log_ntp
explore_cycle_3_factor_1,final,control,factor_2,0.007827079776512084,0.16478958793694207,0.9525025829938529,0.022376218553964527,0.8972506391426991,log_ntp
explore_cycle_3_factor_1,final,control,factor_1,0.0927051985473565,0.1821644965425569,0.4910907432190065,0.2781155937282739,0.0004831290764626406,ntp
explore_cycle_3_factor_1,final,control,factor_2,0.07312486469923091,0.16478958793694207,0.5562531248806043,0.21937459409769272,-0.007346226866115746,ntp
explore_cycle_3_factor_1,final,control,factor_1,0.18216541136028652,0.1821644965425569,-5.021932083293379e-06,0.27825044647980485,-1.5168883276128753e-06,train_mean
explore_cycle_3_factor_1,final,control,factor_2,0.16526816896441898,0.16478958793694207,-0.0029041945760557297,0.2187099046882062,-0.0042940394811628035,train_mean
