run,seed,agent_steps,iteration,phase,n_fit,n_test,source,success_percent,train_probe_success_percent
explore_cycle_3_both,42,50001886,1510,final,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_both_state_0/results/20260909T084200Z-e5f5f91b/checkpoint_probes/steps_050001886/probe_battery.json,76.36,76.10749999999999
explore_cycle_3_factor_1,42,0,0,initial,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_000000000/probe_battery.json,33.629999999999995,32.915
explore_cycle_3_factor_1,42,33074,1,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_000033074/probe_battery.json,33.72,34.085
explore_cycle_3_factor_1,42,66154,2,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_000066154/probe_battery.json,33.205,33.345
explore_cycle_3_factor_1,42,132080,4,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_000132080/probe_battery.json,33.33,33.94
explore_cycle_3_factor_1,42,264407,8,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_000264407/probe_battery.json,33.415,33.0
explore_cycle_3_factor_1,42,529112,16,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_000529112/probe_battery.json,37.769999999999996,37.475
explore_cycle_3_factor_1,42,1058450,32,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_001058450/probe_battery.json,52.62,51.55499999999999
explore_cycle_3_factor_1,42,2116834,64,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_002116834/probe_battery.json,71.75,71.83500000000001
explore_cycle_3_factor_1,42,4233720,128,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_004233720/probe_battery.json,75.47500000000001,75.46000000000001
explore_cycle_3_factor_1,42,8467762,256,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_008467762/probe_battery.json,76.41,76.35499999999999
explore_cycle_3_factor_1,42,16935407,512,intermediate,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_016935407/probe_battery.json,77.60000000000001,78.185
explore_cycle_3_factor_1,42,30001054,907,final,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_factor_1_state_0/results/20260909T084527Z-64ab39a1/checkpoint_probes/steps_030001054/probe_battery.json,33.295,33.28
