run,seed,agent_steps,iteration,phase,n_fit,n_test,source,layer,factor,probe_type,json_pointer,mse,target_variance,global_mse_ratio,r_squared,global_r2,null_mse,null_target_variance,null_r_squared,null_global_r2,selected_rcond,cv_folds,cv_validation_mse
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.013420018375070416,0.09555247831576143,0.14044657565785792,0.8595534243421421,0.8595534243421421,0.01594794525107585,0.062195463140271204,0.7435834633933348,0.7435834633933347,1e-15,10,"{""0.0001"": 0.015193283703002537, ""0.01"": 0.02794425739532085, ""1e-06"": 0.01454280374074692, ""1e-08"": 0.01454280374074692, ""1e-10"": 0.01454280374074692, ""1e-15"": 0.01454280374074692}"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_2,strata,shuffled_training_labels,/layers/layer_2/shuffled_training_labels/strata,0.0967521106198289,0.09555247831576143,1.0125546958615053,-0.012554695861505483,-0.01255469586150526,0.06357428124059022,0.062195463140271204,-0.022169110586238938,-0.022169110586238938,0.01,10,"{""0.0001"": 0.09063799433029959, ""0.01"": 0.09035387556137345, ""1e-06"": 0.09071462069646233, ""1e-08"": 0.09071462069646233, ""1e-10"": 0.09071462069646233, ""1e-15"": 0.09071462069646233}"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_3,strata,probe_fits,/layers/layer_3/probe_fits/strata,0.012887789720371067,0.09555247831576143,0.1348765615244667,0.8651234384755333,0.8651234384755333,0.015859936293887513,0.062195463140271204,0.744998501609062,0.7449985016090619,1e-15,10,"{""0.0001"": 0.014368818234893093, ""0.01"": 0.02830709662749677, ""1e-06"": 0.014026644106845124, ""1e-08"": 0.014026644106845124, ""1e-10"": 0.014026644106845124, ""1e-15"": 0.014026644106845124}"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_3,strata,shuffled_training_labels,/layers/layer_3/shuffled_training_labels/strata,0.09681215020631638,0.09555247831576143,1.0131830373503474,-0.013183037350347426,-0.013183037350347426,0.06354445396178285,0.062195463140271204,-0.021689537361740063,-0.021689537361740063,0.01,10,"{""0.0001"": 0.09063599177614845, ""0.01"": 0.09035500373901945, ""1e-06"": 0.09067324479085023, ""1e-08"": 0.09067324479085023, ""1e-10"": 0.09067324479085023, ""1e-15"": 0.09067324479085023}"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,control,strata,current_visible_token,/controls/current_visible_token/strata,0.07080621181481284,0.09555247831576143,0.7410191034588092,0.25898089654119083,0.25898089654119083,0.06299653134821333,0.062195463140271204,-0.012879849550045952,-0.012879849550045952,,,
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,control,strata,train_mean,/controls/train_mean/strata,0.09595638360300797,0.09555247831576143,1.004227051923361,-0.004227051923360925,-0.004227051923360925,0.06308358673254315,0.062195463140271204,-0.014279555894116225,-0.014279555894116225,,,
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,layer_1,strata,probe_fits,/layers/layer_1/probe_fits/strata,0.029319079002349088,0.09555247831576143,0.3068374522475666,0.6931625477524335,0.6931625477524335,0.030036075559113636,0.062195463140271204,0.5170696696739372,0.5170696696739372,1e-15,10,"{""0.0001"": 0.030629454345356112, ""0.01"": 0.0321450220311994, ""1e-06"": 0.02935186059925332, ""1e-08"": 0.02935186059925332, ""1e-10"": 0.02935186059925332, ""1e-15"": 0.02935186059925332}"
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,layer_1,strata,shuffled_training_labels,/layers/layer_1/shuffled_training_labels/strata,0.09696213145722607,0.09555247831576143,1.014752659128383,-0.014752659128383083,-0.014752659128383083,0.06366285817429992,0.062195463140271204,-0.023593280923389193,-0.023593280923389193,0.01,10,"{""0.0001"": 0.0904619140192953, ""0.01"": 0.0903491200184679, ""1e-06"": 0.09066515263151034, ""1e-08"": 0.09066515263151034, ""1e-10"": 0.09066515263151034, ""1e-15"": 0.09066515263151034}"
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.010520937541957891,0.09555247831576143,0.1101063805712139,0.8898936194287861,0.8898936194287861,0.013646810955058795,0.062195463140271204,0.7805818902854578,0.7805818902854578,1e-15,10,"{""0.0001"": 0.011741419100225881, ""0.01"": 0.024772660295327077, ""1e-06"": 0.011249422677269008, ""1e-08"": 0.011249422677269008, ""1e-10"": 0.011249422677269008, ""1e-15"": 0.011249422677269008}"
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,layer_2,strata,shuffled_training_labels,/layers/layer_2/shuffled_training_labels/strata,0.09660628887068179,0.09555247831576143,1.0110286051549386,-0.011028605154938642,-0.011028605154938642,0.0635617245925288,0.062195463140271204,-0.021967220489639727,-0.021967220489639727,0.01,10,"{""0.0001"": 0.0905763731919855, ""0.01"": 0.09035144841155504, ""1e-06"": 0.09061131180011418, ""1e-08"": 0.09061131180011418, ""1e-10"": 0.09061131180011418, ""1e-15"": 0.09061131180011418}"
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,layer_3,strata,probe_fits,/layers/layer_3/probe_fits/strata,0.008947412337206183,0.09555247831576143,0.09363872601648997,0.9063612739835101,0.9063612739835101,0.012042317065240941,0.062195463140271204,0.8063794936604691,0.8063794936604691,1e-15,10,"{""0.0001"": 0.009812806163170002, ""0.01"": 0.024405281343549363, ""1e-06"": 0.009812806163170002, ""1e-08"": 0.009812806163170002, ""1e-10"": 0.009812806163170002, ""1e-15"": 0.009812806163170002}"
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,layer_3,strata,shuffled_training_labels,/layers/layer_3/shuffled_training_labels/strata,0.0965278912756338,0.09555247831576143,1.010208138784732,-0.010208138784731924,-0.010208138784731924,0.06343358231826947,0.062195463140271204,-0.019906905029486,-0.019906905029485777,0.01,10,"{""0.0001"": 0.09057354476599636, ""0.01"": 0.09036176966230211, ""1e-06"": 0.09057354476599636, ""1e-08"": 0.09057354476599636, ""1e-10"": 0.09057354476599636, ""1e-15"": 0.09057354476599636}"
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,control,strata,current_visible_token,/controls/current_visible_token/strata,0.07080621181481284,0.09555247831576143,0.7410191034588092,0.25898089654119083,0.25898089654119083,0.06299653134821333,0.062195463140271204,-0.012879849550045952,-0.012879849550045952,,,
