run,phase,layer,factor,mse,target_variance,global_r2,null_mse,null_global_r2
token_cycle_1_context,initial,layer_1,strata,0.03221932580940899,0.09555247831576143,0.6628101502198882,0.0313570440731871,0.4958306845876095
token_cycle_1_context,initial,layer_2,strata,0.014816064266317156,0.09555247831576143,0.8449431712555253,0.017334718425520736,0.7212864483953556
token_cycle_1_context,initial,layer_3,strata,0.012472406014507217,0.09555247831576143,0.86947061725295,0.01615042355691653,0.7403279477075038
token_cycle_1_context,final,layer_1,strata,0.012346641895851882,0.09555247831576143,0.8707867957641943,0.02442319164824999,0.607315543367405
token_cycle_1_context,final,layer_2,strata,0.004096605374249255,0.09555247831576143,0.9571271677463805,0.009571057939102632,0.8461132459530569
token_cycle_1_context,final,layer_3,strata,0.004048814958063187,0.09555247831576143,0.957627316115407,0.008894582863366952,0.8569898443668351
token_cycle_2,initial,layer_1,strata,0.05065955383262034,0.15499401324917533,0.6731515445620615,0.10015113995649677,0.489662838322959
token_cycle_2,initial,layer_2,strata,0.025732214226901248,0.15499401324917533,0.833979302248707,0.052342094746672035,0.7332819568419244
token_cycle_2,initial,layer_3,strata,0.023338204915426885,0.15499401324917533,0.8494251201954017,0.05115975332087291,0.7393067786026915
token_cycle_2,final,layer_1,strata,0.02199330969886362,0.15499401324917533,0.8581021986732726,0.05058350713392013,0.7422431390235956
token_cycle_2,final,layer_2,strata,0.00814699491146601,0.15499401324917533,0.9474367122917933,0.018307135113057357,0.9067128803916353
token_cycle_2,final,layer_3,strata,0.008317803338936584,0.15499401324917533,0.946334679872025,0.017177583790068583,0.9124687012079838
explore_cycle_3_both,initial,layer_1,factor_1,0.1309796217442726,0.1782648981297332,0.26525287300839506,0.19903647876013822,0.2577957834418829
explore_cycle_3_both,initial,layer_1,factor_2,0.1313627270644506,0.17981306599866392,0.26944837776456876,0.1936274975574512,0.280310629875283
explore_cycle_3_both,initial,layer_2,factor_1,0.13188337125445249,0.1782648981297332,0.2601831732544806,0.20093721097168823,0.25070797988573
explore_cycle_3_both,initial,layer_2,factor_2,0.13345141660451543,0.17981306599866392,0.2578324836221467,0.19749186157256512,0.26594726858077067
explore_cycle_3_both,initial,layer_3,factor_1,0.13318889798401876,0.1782648981297332,0.2528596522289551,0.20276302011876088,0.2438995633782175
explore_cycle_3_both,initial,layer_3,factor_2,0.13336040165753693,0.17981306599866392,0.2583386478793046,0.19486676629553548,0.27570442182746946
explore_cycle_3_both,final,layer_1,factor_1,0.023297655188887142,0.05476200596903371,0.5745653436789501,0.04948233947131377,0.5717415450333433
explore_cycle_3_both,final,layer_1,factor_2,0.02198174379332808,0.05153881762409579,0.5734915000640018,0.04833009427733058,0.519751435804046
explore_cycle_3_both,final,layer_2,factor_1,0.02217956178781301,0.05476200596903371,0.5949826637038298,0.044233235011253105,0.6171713567609673
explore_cycle_3_both,final,layer_2,factor_2,0.02027624727702859,0.05153881762409579,0.6065829948813397,0.04324516529154838,0.5702795773476419
explore_cycle_3_both,final,layer_3,factor_1,0.02310632484232245,0.05476200596903371,0.5780591957243424,0.04538973020472673,0.6071621524665645
explore_cycle_3_both,final,layer_3,factor_2,0.0196112206487459,0.05153881762409579,0.6194864074728574,0.04184434644940405,0.5841992944038117
explore_cycle_3_factor_1,initial,layer_1,factor_1,0.1309796217442726,0.1782648981297332,0.26525287300839506,0.19903647876013822,0.2577957834418829
explore_cycle_3_factor_1,initial,layer_1,factor_2,0.1313627270644506,0.17981306599866392,0.26944837776456876,0.1936274975574512,0.280310629875283
explore_cycle_3_factor_1,initial,layer_2,factor_1,0.13188337125445249,0.1782648981297332,0.2601831732544806,0.20093721097168823,0.25070797988573
explore_cycle_3_factor_1,initial,layer_2,factor_2,0.13345141660451543,0.17981306599866392,0.2578324836221467,0.19749186157256512,0.26594726858077067
explore_cycle_3_factor_1,initial,layer_3,factor_1,0.13318889798401876,0.1782648981297332,0.2528596522289551,0.20276302011876088,0.2438995633782175
explore_cycle_3_factor_1,initial,layer_3,factor_2,0.13336040165753693,0.17981306599866392,0.2583386478793046,0.19486676629553548,0.27570442182746946
explore_cycle_3_factor_1,final,layer_1,factor_1,0.03069066224522411,0.1821644965425569,0.8315222624181644,0.04500710467764425,0.83824941336918
explore_cycle_3_factor_1,final,layer_1,factor_2,0.06933079224485154,0.16478958793694207,0.579276863830854,0.16402813523655832,0.24679918470025863
explore_cycle_3_factor_1,final,layer_2,factor_1,0.02452379511584021,0.1821644965425569,0.8653755502235805,0.042093168010204275,0.8487217814261635
explore_cycle_3_factor_1,final,layer_2,factor_2,0.07031228645091742,0.16478958793694207,0.5733208188018353,0.17979368175478228,0.17440536961453013
explore_cycle_3_factor_1,final,layer_3,factor_1,0.01503712987804807,0.1821644965425569,0.9174530154698113,0.02242959901322579,0.9193904868071769
explore_cycle_3_factor_1,final,layer_3,factor_2,0.07027092791162741,0.16478958793694207,0.5735717966688703,0.17930783532684236,0.17663632788950567
