condition,factor,factor_role,layer,is_last_layer,candidate,true_mse,true_r_squared,alternative_mse,alternative_r_squared,delta_r_squared,delta_r_squared_ci_low,delta_r_squared_ci_high,ci_reason,parameters,selection_next_observation_kl,test_next_observation_kl,selection_affine_residual_ratio,selection_min_permutation_mse,n_test_episodes,n_bootstrap_resamples
token_guess,factor_1,guessed,layer_1,False,alternative_2,0.008163991142445332,0.8635454701336678,0.0039647448127664965,0.8852710937927752,-0.021725623659107407,-0.02659115144518591,-0.017633423542789045,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.00877892282092242,0.009052133702600797,0.04473965195759246,0.007620742022161531,28,200
token_guess,factor_1,guessed,layer_1,False,alternative_10,0.008163991142445332,0.8635454701336678,0.00494259015996642,0.867412443116127,-0.0038669729824592214,-0.008483353868058216,9.838585101998945e-05,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.010378335728968293,0.010560779785766269,0.08587392443043276,0.010197283390127591,28,200
token_guess,factor_1,guessed,layer_1,False,alternative_11,0.008163991142445332,0.8635454701336678,0.008757367787875548,0.870918916941996,-0.007373446808328243,-0.00952814476625852,-0.00540082323727122,,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.007829078207389725,0.007344470787559439,0.05025549880255707,0.00625338049223417,28,200
token_guess,factor_1,guessed,layer_2,False,alternative_2,0.007525662195100896,0.8742146238466232,0.0036547180630847804,0.8942424227346611,-0.020027798888037962,-0.02442609397410999,-0.015681714792957248,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.00877892282092242,0.009052133702600797,0.04473965195759246,0.007620742022161531,28,200
token_guess,factor_1,guessed,layer_2,False,alternative_10,0.007525662195100896,0.8742146238466232,0.004552397203601132,0.8778795725206254,-0.0036649486740022164,-0.0077432105675135695,0.0007420655381083219,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.010378335728968293,0.010560779785766269,0.08587392443043276,0.010197283390127591,28,200
token_guess,factor_1,guessed,layer_2,False,alternative_11,0.007525662195100896,0.8742146238466232,0.008007943365196859,0.8819652174392087,-0.007750593592585564,-0.00982585043231386,-0.005843801055821422,,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.007829078207389725,0.007344470787559439,0.05025549880255707,0.00625338049223417,28,200
token_guess,factor_1,guessed,layer_3,True,alternative_2,0.007799276715561716,0.8696413777341954,0.0038379452210381207,0.8889403282967654,-0.019298950562570028,-0.0235004195803158,-0.015443794469985629,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.00877892282092242,0.009052133702600797,0.04473965195759246,0.007620742022161531,28,200
token_guess,factor_1,guessed,layer_3,True,alternative_10,0.007799276715561716,0.8696413777341954,0.004745739676958597,0.8726930599119155,-0.003051682177720033,-0.007114092230358778,0.0008362569462161472,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.010378335728968293,0.010560779785766269,0.08587392443043276,0.010197283390127591,28,200
token_guess,factor_1,guessed,layer_3,True,alternative_11,0.007799276715561716,0.8696413777341954,0.008322008095814919,0.8773359936175684,-0.007694615883372988,-0.009542603188009886,-0.006015711467202269,,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.007829078207389725,0.007344470787559439,0.05025549880255707,0.00625338049223417,28,200
token_guess,factor_2,guessed,layer_1,False,alternative_2,0.008677767496439273,0.8552227474596027,0.004252734892898415,0.8770561547719027,-0.021833407312299935,-0.025880016542431862,-0.018411205058413108,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.00877892282092242,0.009052133702600797,0.04560702153826061,0.007956628035621928,28,200
