condition,metric,mean_fraction,ci95_low_fraction,ci95_high_fraction,mean_percent,ci95_low_percent,ci95_high_percent,n_episodes,horizon,warmup,checkpoint,agent_steps,bayes_reference_kind,bayes_reference_label,bayes_reference_fraction,bayes_reference_percent,bayes_ci95_low_fraction,bayes_ci95_high_fraction,bayes_ci95_low_percent,bayes_ci95_high_percent,bayes_reference_details
token_guess,joint_token_accuracy,0.7219268896210367,0.7182074786732624,0.725646300568811,72.19268896210367,71.82074786732625,72.5646300568811,128,1024,0,experiments/wing_token_guess_cycle_1/ppo/artifacts/20260908T000438Z-b9d3cfaa/tune/PPO_HMMEnv_e4625_00000_0_2026-09-08_00-04-42/checkpoint_000000/learner_group/learner/rl_module/default_policy,2516889,exact_optimal_accuracy,Bayes maximum (exact dominant-token rule),0.7219334444444443,72.19334444444443,,,,,"{""alpha"":0.94,""analytic_cross_check"":{""emission_probabilities_of_dominant_token"":[0.97,0.609,0.97],""expected_episode_return"":739.259847111111,""fraction"":0.7219334444444443,""joint_guess"":[1,1],""justification"":""one token maximizes probability in every hidden state, hence in every history-conditioned belief; the uniform source prior is stationary, so square its per-factor correctness probability at every decision"",""percentage"":72.19334444444443,""stationary_source_residual"":0.0,""status"":""exact Bayes-optimal value from a statewise-dominant token, evaluated in float64""},""benchmark"":""passive_delay_one_exact_bayes_rule_monte_carlo"",""ci95"":[0.7209901849241214,0.7223793025357996],""ci_method"":""approximate Student-t interval over independent full-episode means"",""confidence_scope"":""Monte Carlo uncertainty only; not a rigorous confidence bound on the optimum"",""delay"":1,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""episodes_per_chain"":1,""estimator"":""mean conditional expected correctness before each pending token is revealed"",""expected_episode_return"":739.0051775794796,""factor_count"":2,""filter"":""source <- normalize(source @ base_edge[revealed_token]); actions never alter the passive process"",""first_decision_accuracy"":0.7219334444444445,""horizon"":1024,""independent_chains"":4096,""mean"":0.7216847437299605,""metric"":""joint_token_guess_accuracy"",""n_episodes"":4096,""percentage"":72.16847437299604,""policy"":""argmax joint pending-token probability; independent-factor maximum probabilities are multiplied"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""ee7867f5306bf2612fefc2b531a976fe7ec65220bd86c52324907f1743e67a44"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""random_stream"":""NumPy default_rng; step-major draws of shape (n_episodes, 2)"",""reset"":""uniform source prior; first decision has a blank observation and guesses the pending reset-edge token"",""reset_count"":4096,""seed"":20260910,""standard_error"":0.0003542685073110332,""status"":""Monte Carlo estimate of the exact Bayes-optimal prediction rule, not a certified maximum"",""warmup_actions"":0,""x"":0.4}"
reward_both,mean_rewarded_factor_arrival_occupancy,0.6256103103860635,0.6239947919948722,0.6272258287772549,62.56103103860635,62.39947919948722,62.722582877725486,128,1024,0,experiments/wing_two_factor_explore_cycle_2/reward_both_state_0/artifacts/20260908T001136Z-9064aabc/tune/PPO_HMMEnv_ddc21_00000_0_2026-09-08_00-11-41/checkpoint_000000/learner_group/learner/rl_module/default_policy,50005374,numerical_upper_bound,Bayes planning upper bound (numerical),0.6834409759292766,68.34409759292765,,,,,"{""attainable_policy"":{""alpha"":0.94,""benchmark"":""controlled_attainable_full_belief_policy_monte_carlo"",""ci95"":[0.6830598022048407,0.6835429333566841],""ci_method"":""approximate Student-t interval over independent full-episode means"",""confidence_scope"":""Monte Carlo uncertainty only; not a rigorous confidence bound on the optimum"",""episodes_per_chain"":1,""estimator"":""conditional expected arrival-state reward before each controlled edge"",""evaluation_discount"":1.0,""expected_episode_return"":699.7006006075007,""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""exact action/token belief; no hidden-state or reward observations"",""grid"":{""grid_points"":20301,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":363803,""subdivisions"":200},""horizon"":1024,""independent_chains"":4096,""mean"":0.6833013677807624,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""n_episodes"":4096,""percentage"":68.33013677807625,""planning"":{""bellman_increment_span"":9.939826739469027e-11,""gamma"":0.99,""iterations"":387,""max_iterations"":10000,""method"":""centered discounted grid value iteration"",""span_tolerance"":1e-10},""policy"":""stationary argmax barycentrically interpolated discounted grid Q; no artificial grid-state revelation"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""random_stream"":""NumPy default_rng; reset then step-major draws of shape (n_episodes,)"",""reset"":""uniform source prior -> neutral base edge -> visible token -> arrival posterior before first action"",""reset_count"":4096,""reward_state"":0,""seed"":20260911,""simulated_factors"":1,""standard_error"":0.00012321357857688687,""status"":""Monte Carlo estimate of an attainable policy value, not the Bayes optimum or a rigorous lower confidence bound"",""strength"":1.0,""warmup_actions"":0,""x"":0.4},""grid_refinements"":{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_grid_refinement"",""convergence"":{""interpretation"":""resolution stability is not a certified error bar or proof of equality to the continuous-belief optimum; minimum of computed upper bounds selected without extrapolation"",""last_absolute_fraction_change"":4.2488473969370943e-05,""nested_triangulations"":true,""observed_nonincreasing"":true,""successive_fraction_changes"":[-0.0001861768215357662,-4.2488473969370943e-05]},""episode_return_upper_bound"":699.8435593515792,""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""refinements"":[{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_belief_grid_upper_bound"",""bound_justification"":""nonnegative barycentric posterior decomposition and convex finite-horizon POMDP values imply an information-relaxation upper bound by Bellman induction"",""certification"":""float64 numerical upper bound; no interval arithmetic, no certified discretization gap, no extrapolation"",""discount"":1.0,""episode_return_upper_bound"":700.0777126141764,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""normalize(belief @ K[action, token]); no hidden-state or reward observations"",""grid"":{""grid_points"":5151,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":91911,""subdivisions"":100},""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""reset"":""uniform source prior -> neutral base edge -> visible reset token -> arrival posterior before first action; reset earns no reward"",""reset_beliefs"":[[0.06651884700665193,0.9002217294900221,0.03325942350332597],[0.3805413887799137,0.23303256178893683,0.3864260494311495]],""reset_evaluation"":""exact Bellman backup at reset posteriors, interpolating only the remaining-horizon continuation"",""reset_token_probabilities"":[0.15033333333333335,0.8496666666666666],""reward"":""belief @ sum_token K[action, token] @ one_hot(reward_state)"",""reward_state"":0,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""terminal_value"":0.0,""upper_bound_fraction"":0.6836696412247817,""upper_bound_percentage"":68.36696412247817,""warmup_actions"":0,""x"":0.4},{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_belief_grid_upper_bound"",""bound_justification"":""nonnegative barycentric posterior decomposition and convex finite-horizon POMDP values imply an information-relaxation upper bound by Bellman induction"",""certification"":""float64 numerical upper bound; no interval arithmetic, no certified discretization gap, no extrapolation"",""discount"":1.0,""episode_return_upper_bound"":699.8870675489238,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""normalize(belief @ K[action, token]); no hidden-state or reward observations"",""grid"":{""grid_points"":20301,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":363803,""subdivisions"":200},""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""reset"":""uniform source prior -> neutral base edge -> visible reset token -> arrival posterior before first action; reset earns no reward"",""reset_beliefs"":[[0.06651884700665193,0.9002217294900221,0.03325942350332597],[0.3805413887799137,0.23303256178893683,0.3864260494311495]],""reset_evaluation"":""exact Bellman backup at reset posteriors, interpolating only the remaining-horizon continuation"",""reset_token_probabilities"":[0.15033333333333335,0.8496666666666666],""reward"":""belief @ sum_token K[action, token] @ one_hot(reward_state)"",""reward_state"":0,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""terminal_value"":0.0,""upper_bound_fraction"":0.6834834644032459,""upper_bound_percentage"":68.34834644032459,""warmup_actions"":0,""x"":0.4},{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_belief_grid_upper_bound"",""bound_justification"":""nonnegative barycentric posterior decomposition and convex finite-horizon POMDP values imply an information-relaxation upper bound by Bellman induction"",""certification"":""float64 numerical upper bound; no interval arithmetic, no certified discretization gap, no extrapolation"",""discount"":1.0,""episode_return_upper_bound"":699.8435593515792,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""normalize(belief @ K[action, token]); no hidden-state or reward observations"",""grid"":{""grid_points"":80601,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":1447586,""subdivisions"":400},""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""reset"":""uniform source prior -> neutral base edge -> visible reset token -> arrival posterior before first action; reset earns no reward"",""reset_beliefs"":[[0.06651884700665193,0.9002217294900221,0.03325942350332597],[0.3805413887799137,0.23303256178893683,0.3864260494311495]],""reset_evaluation"":""exact Bellman backup at reset posteriors, interpolating only the remaining-horizon continuation"",""reset_token_probabilities"":[0.15033333333333335,0.8496666666666666],""reward"":""belief @ sum_token K[action, token] @ one_hot(reward_state)"",""reward_state"":0,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""terminal_value"":0.0,""upper_bound_fraction"":0.6834409759292766,""upper_bound_percentage"":68.34409759292765,""warmup_actions"":0,""x"":0.4}],""reward_state"":0,""selected_subdivisions"":400,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""upper_bound_fraction"":0.6834409759292766,""upper_bound_percentage"":68.34409759292765,""x"":0.4}}"
reward_factor_1,mean_rewarded_factor_arrival_occupancy,0.6396493466576321,0.6379496715245805,0.6413490217906836,63.96493466576321,63.79496715245805,64.13490217906836,128,1024,0,experiments/wing_two_factor_explore_cycle_2/reward_factor_1_state_0/artifacts/20260908T001436Z-51c1f6cb/tune/PPO_HMMEnv_4888e_00000_0_2026-09-08_00-14-40/checkpoint_000000/learner_group/learner/rl_module/default_policy,30001584,numerical_upper_bound,Bayes planning upper bound (numerical),0.6834409759292766,68.34409759292765,,,,,"{""attainable_policy"":{""alpha"":0.94,""benchmark"":""controlled_attainable_full_belief_policy_monte_carlo"",""ci95"":[0.6830598022048407,0.6835429333566841],""ci_method"":""approximate Student-t interval over independent full-episode means"",""confidence_scope"":""Monte Carlo uncertainty only; not a rigorous confidence bound on the optimum"",""episodes_per_chain"":1,""estimator"":""conditional expected arrival-state reward before each controlled edge"",""evaluation_discount"":1.0,""expected_episode_return"":699.7006006075007,""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""exact action/token belief; no hidden-state or reward observations"",""grid"":{""grid_points"":20301,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":363803,""subdivisions"":200},""horizon"":1024,""independent_chains"":4096,""mean"":0.6833013677807624,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""n_episodes"":4096,""percentage"":68.33013677807625,""planning"":{""bellman_increment_span"":9.939826739469027e-11,""gamma"":0.99,""iterations"":387,""max_iterations"":10000,""method"":""centered discounted grid value iteration"",""span_tolerance"":1e-10},""policy"":""stationary argmax barycentrically interpolated discounted grid Q; no artificial grid-state revelation"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""random_stream"":""NumPy default_rng; reset then step-major draws of shape (n_episodes,)"",""reset"":""uniform source prior -> neutral base edge -> visible token -> arrival posterior before first action"",""reset_count"":4096,""reward_state"":0,""seed"":20260911,""simulated_factors"":1,""standard_error"":0.00012321357857688687,""status"":""Monte Carlo estimate of an attainable policy value, not the Bayes optimum or a rigorous lower confidence bound"",""strength"":1.0,""warmup_actions"":0,""x"":0.4},""grid_refinements"":{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_grid_refinement"",""convergence"":{""interpretation"":""resolution stability is not a certified error bar or proof of equality to the continuous-belief optimum; minimum of computed upper bounds selected without extrapolation"",""last_absolute_fraction_change"":4.2488473969370943e-05,""nested_triangulations"":true,""observed_nonincreasing"":true,""successive_fraction_changes"":[-0.0001861768215357662,-4.2488473969370943e-05]},""episode_return_upper_bound"":699.8435593515792,""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""refinements"":[{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_belief_grid_upper_bound"",""bound_justification"":""nonnegative barycentric posterior decomposition and convex finite-horizon POMDP values imply an information-relaxation upper bound by Bellman induction"",""certification"":""float64 numerical upper bound; no interval arithmetic, no certified discretization gap, no extrapolation"",""discount"":1.0,""episode_return_upper_bound"":700.0777126141764,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""normalize(belief @ K[action, token]); no hidden-state or reward observations"",""grid"":{""grid_points"":5151,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":91911,""subdivisions"":100},""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""reset"":""uniform source prior -> neutral base edge -> visible reset token -> arrival posterior before first action; reset earns no reward"",""reset_beliefs"":[[0.06651884700665193,0.9002217294900221,0.03325942350332597],[0.3805413887799137,0.23303256178893683,0.3864260494311495]],""reset_evaluation"":""exact Bellman backup at reset posteriors, interpolating only the remaining-horizon continuation"",""reset_token_probabilities"":[0.15033333333333335,0.8496666666666666],""reward"":""belief @ sum_token K[action, token] @ one_hot(reward_state)"",""reward_state"":0,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""terminal_value"":0.0,""upper_bound_fraction"":0.6836696412247817,""upper_bound_percentage"":68.36696412247817,""warmup_actions"":0,""x"":0.4},{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_belief_grid_upper_bound"",""bound_justification"":""nonnegative barycentric posterior decomposition and convex finite-horizon POMDP values imply an information-relaxation upper bound by Bellman induction"",""certification"":""float64 numerical upper bound; no interval arithmetic, no certified discretization gap, no extrapolation"",""discount"":1.0,""episode_return_upper_bound"":699.8870675489238,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""normalize(belief @ K[action, token]); no hidden-state or reward observations"",""grid"":{""grid_points"":20301,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":363803,""subdivisions"":200},""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""reset"":""uniform source prior -> neutral base edge -> visible reset token -> arrival posterior before first action; reset earns no reward"",""reset_beliefs"":[[0.06651884700665193,0.9002217294900221,0.03325942350332597],[0.3805413887799137,0.23303256178893683,0.3864260494311495]],""reset_evaluation"":""exact Bellman backup at reset posteriors, interpolating only the remaining-horizon continuation"",""reset_token_probabilities"":[0.15033333333333335,0.8496666666666666],""reward"":""belief @ sum_token K[action, token] @ one_hot(reward_state)"",""reward_state"":0,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""terminal_value"":0.0,""upper_bound_fraction"":0.6834834644032459,""upper_bound_percentage"":68.34834644032459,""warmup_actions"":0,""x"":0.4},{""alpha"":0.94,""benchmark"":""controlled_finite_horizon_belief_grid_upper_bound"",""bound_justification"":""nonnegative barycentric posterior decomposition and convex finite-horizon POMDP values imply an information-relaxation upper bound by Bellman induction"",""certification"":""float64 numerical upper bound; no interval arithmetic, no certified discretization gap, no extrapolation"",""discount"":1.0,""episode_return_upper_bound"":699.8435593515792,""episode_scope"":""full fixed-length episodes; randomized first training-episode lengths excluded"",""factor_normalization"":""The two independent factors have separately selectable actions. Reward is the mean over selected arrival-state indicators, not joint success. Thus reward_both and reward_factor_1 have the same normalized optimal value."",""filter"":""normalize(belief @ K[action, token]); no hidden-state or reward observations"",""grid"":{""grid_points"":80601,""max_barycentric_sum_error"":2.220446049250313e-16,""max_posterior_reconstruction_error"":4.440892098500626e-16,""max_transition_row_sum_error"":4.440892098500626e-16,""minimum_barycentric_weight"":0.0,""sparse_transition_nonzeros"":1447586,""subdivisions"":400},""horizon"":1024,""metric"":""mean_rewarded_factor_arrival_state_indicator"",""provenance"":{""arithmetic"":""float64; not interval-arithmetic certified"",""kernel_sha256"":""0c42207f73c9ed51f2ef46fd661f78beb96d8ca1f81f1148752437c5ed5065ae"",""numpy_version"":""2.5.1"",""scipy_version"":""1.18.0""},""reset"":""uniform source prior -> neutral base edge -> visible reset token -> arrival posterior before first action; reset earns no reward"",""reset_beliefs"":[[0.06651884700665193,0.9002217294900221,0.03325942350332597],[0.3805413887799137,0.23303256178893683,0.3864260494311495]],""reset_evaluation"":""exact Bellman backup at reset posteriors, interpolating only the remaining-horizon continuation"",""reset_token_probabilities"":[0.15033333333333335,0.8496666666666666],""reward"":""belief @ sum_token K[action, token] @ one_hot(reward_state)"",""reward_state"":0,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""terminal_value"":0.0,""upper_bound_fraction"":0.6834409759292766,""upper_bound_percentage"":68.34409759292765,""warmup_actions"":0,""x"":0.4}],""reward_state"":0,""selected_subdivisions"":400,""status"":""numerical upper bound, not the exact Bayes optimum"",""strength"":1.0,""upper_bound_fraction"":0.6834409759292766,""upper_bound_percentage"":68.34409759292765,""x"":0.4}}"
