condition,factor,factor_role,layer,is_last_layer,probe_mse,probe_r_squared,delta_contrast_r_squared,baseline,baseline_mse,baseline_r_squared,delta_r_squared,delta_r_squared_ci_low,delta_r_squared_ci_high,mse_improvement,mse_improvement_ci_low,mse_improvement_ci_high,ci_reason,delta_r_squared_ci_reason,n_test_episodes,n_bootstrap_resamples
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,train_mean,0.06001645387783665,-0.0031266393181843544,0.8666721094518521,0.8621374814973924,0.8736208785553223,0.05185246273539132,0.04992334554418826,0.053657964476988604,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,ntp,0.007756057236245682,0.8703637564859894,-0.006818286352321634,-0.011893242832635596,-0.001000946456363095,-0.0004079339061996501,-0.0006999585791841428,-5.9034512029341795e-05,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,log_ntp,0.007200115640416802,0.8796558720417696,-0.016110401908101868,-0.021041300295242572,-0.010496936721424007,-0.0009638755020285302,-0.0012604059504123732,-0.0006190982331567053,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,joint_ntp,0.0077545795131587665,0.870388455435998,-0.006842985302330208,-0.011998853218503185,-0.0009749857942202374,-0.0004094116292865657,-0.000706301636805812,-5.758368900727558e-05,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,log_joint_ntp,0.008181221159109887,0.863257484296529,0.00028798583713880965,-0.004301623708529916,0.0057381019104162205,1.7230016664555176e-05,-0.00026319092631477993,0.00033889645828833896,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,policy_probabilities,0.053723299374463976,0.10205836445641525,0.7614871056772526,0.7403863281045256,0.792106606329084,0.04555930823201865,0.04293099073133767,0.04853743580605026,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,centered_log_policy,0.028041882116540677,0.5313025487147276,0.33224292141894024,0.32256957776657263,0.34248307436079417,0.019877890974095345,0.019113588794177978,0.020633799269493935,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,suffix_0_belief,0.06001645387783665,-0.0031266393181843544,0.8666721094518521,0.8621374814973923,0.8736208785553223,0.05185246273539132,0.04992334554418826,0.053657964476988604,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,suffix_1_belief,0.03701866201850611,0.38126291003019364,0.4822825601034741,0.47447854525063166,0.49002256839296215,0.028854670876060775,0.027561709251303683,0.029957757776367108,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,suffix_2_belief,0.023411716545103014,0.6086920332487052,0.2548534368849626,0.24877576733020412,0.260566513316856,0.015247725402657682,0.014536715979543318,0.015796696843990748,,,28,200
token_guess,factor_1,guessed,layer_1,False,0.008163991142445332,0.8635454701336678,0.2140145106587289,suffix_4_belief,0.011676593497499305,0.8048351537451207,0.05871031638854705,0.05401395675994046,0.06326386011817967,0.0035126023550539724,0.0032694109947876988,0.0037614816763559002,,,28,200
